Order ID,Order Date,Customer ID,Product ID,Quantity,Country,Coffee Type,Coffee Name,Roast Type,Roast Name,Size,Unit Price,Sales,Loyalty Card
CTE-31437-326,2019-01-02,22721-63196-UJ,R-M-0.2,4,United Kingdom,Rob,Robusta,M,Medium,0.2,2.985,11.94,No
CTE-31437-326,2019-01-02,22721-63196-UJ,E-M-0.2,4,United Kingdom,Exc,Excelsa,M,Medium,0.2,4.125,16.5,No
CTE-31437-326,2019-01-02,22721-63196-UJ,L-D-1,4,United Kingdom,Lib,Liberica,D,Dark,1.0,12.95,51.8,No
CTE-31437-326,2019-01-02,22721-63196-UJ,L-L-0.2,3,United Kingdom,Lib,Liberica,L,Light,0.2,4.755,14.265,No
EZT-46571-659,2019-01-02,03396-68805-ZC,R-M-0.5,3,United States,Rob,Robusta,M,Medium,0.5,5.97,17.91,No
IMP-12563-728,2019-01-03,68346-14810-UA,E-L-0.5,6,United States,Exc,Excelsa,L,Light,0.5,8.91,53.46,No
TID-21626-411,2019-01-03,19383-33606-PW,R-L-0.5,3,United States,Rob,Robusta,L,Light,0.5,7.169999999999999,21.509999999999998,No
CYZ-37122-164,2019-01-06,21798-04171-XC,E-M-0.5,2,United States,Exc,Excelsa,M,Medium,0.5,8.25,16.5,No
OUQ-73954-002,2019-01-06,66308-13503-KD,R-M-0.2,4,United States,Rob,Robusta,M,Medium,0.2,2.985,11.94,Yes
TNR-84447-052,2019-01-09,34419-18068-AG,E-D-2.5,4,United States,Exc,Excelsa,D,Dark,2.5,27.945,111.78,No
KAR-24978-271,2019-01-10,23187-65750-HZ,R-M-1,6,United States,Rob,Robusta,M,Medium,1.0,9.95,59.699999999999996,No
LDK-71031-121,2019-01-10,84761-40784-SV,L-L-2.5,1,United States,Lib,Liberica,L,Light,2.5,36.455,36.455,No
FWU-44971-444,2019-01-11,12190-25421-WM,A-D-2.5,3,United States,Ara,Arabica,D,Dark,2.5,22.884999999999998,68.655,No
EQE-31648-909,2019-01-18,19821-05175-WZ,E-D-0.5,5,United States,Exc,Excelsa,D,Dark,0.5,7.29,36.45,Yes
VJF-46305-323,2019-01-18,68555-89840-GZ,L-D-0.5,2,United States,Lib,Liberica,D,Dark,0.5,7.77,15.54,No
ABO-29054-365,2019-01-19,00256-19905-YG,A-M-0.5,6,Ireland,Ara,Arabica,M,Medium,0.5,6.75,40.5,No
GTT-73214-334,2019-01-20,98636-90072-YE,A-L-1,6,United States,Ara,Arabica,L,Light,1.0,12.95,77.69999999999999,No
KFJ-46568-890,2019-01-20,71003-85639-HB,E-L-0.5,2,United States,Exc,Excelsa,L,Light,0.5,8.91,17.82,Yes
AYY-83051-752,2019-01-22,46431-09298-OU,L-L-1,6,United States,Lib,Liberica,L,Light,1.0,15.85,95.1,Yes
GPW-43956-761,2019-01-26,09667-09231-YM,E-L-0.5,6,United States,Exc,Excelsa,L,Light,0.5,8.91,53.46,Yes
OJU-34452-896,2019-02-04,60799-92593-CX,E-L-0.5,1,United States,Exc,Excelsa,L,Light,0.5,8.91,8.91,Yes
GZS-50547-887,2019-02-05,61600-55136-UM,E-D-1,2,United States,Exc,Excelsa,D,Dark,1.0,12.15,24.3,Yes
TRZ-94735-865,2019-02-05,54462-58311-YF,L-M-0.5,4,Ireland,Lib,Liberica,M,Medium,0.5,8.73,34.92,Yes
DJG-14442-608,2019-02-06,75716-12782-SS,R-D-1,3,United States,Rob,Robusta,D,Dark,1.0,8.95,26.849999999999998,Yes
EEJ-16185-108,2019-02-09,65552-60476-KY,L-L-0.2,5,United States,Lib,Liberica,L,Light,0.2,4.755,23.775,Yes
QLC-52637-305,2019-02-10,34317-87258-HQ,L-D-2.5,4,Ireland,Lib,Liberica,D,Dark,2.5,29.784999999999997,119.13999999999999,Yes
WMU-87639-108,2019-02-11,71891-51101-VQ,R-D-0.5,1,United States,Rob,Robusta,D,Dark,0.5,5.369999999999999,5.369999999999999,Yes
CZG-01299-952,2019-02-12,09540-70637-EV,L-D-1,2,Ireland,Lib,Liberica,D,Dark,1.0,12.95,25.9,Yes
JUO-34131-517,2019-02-13,07972-83748-JI,L-D-1,6,United States,Lib,Liberica,D,Dark,1.0,12.95,77.69999999999999,Yes
AOL-13866-711,2019-02-14,83490-88357-LJ,E-M-1,4,United States,Exc,Excelsa,M,Medium,1.0,13.75,55.0,Yes
OLF-77983-457,2019-02-16,51901-35210-UI,A-L-2.5,2,United States,Ara,Arabica,L,Light,2.5,29.784999999999997,59.56999999999999,No
EAY-89850-211,2019-02-19,43155-71724-XP,A-D-0.2,2,United States,Ara,Arabica,D,Dark,0.2,2.985,5.97,Yes
EVP-43500-491,2019-02-20,49231-44455-IC,A-M-0.5,4,United States,Ara,Arabica,M,Medium,0.5,6.75,27.0,Yes
RYZ-14633-602,2019-02-20,14158-30713-OB,A-D-1,4,Ireland,Ara,Arabica,D,Dark,1.0,9.95,39.8,Yes
XEE-37895-169,2019-02-20,14888-85625-TM,A-L-2.5,3,United States,Ara,Arabica,L,Light,2.5,29.784999999999997,89.35499999999999,Yes
BPG-68988-842,2019-02-21,53631-24432-SY,E-M-0.5,5,United Kingdom,Exc,Excelsa,M,Medium,0.5,8.25,41.25,No
EZB-68383-559,2019-02-21,90123-01967-KS,R-L-1,6,United States,Rob,Robusta,L,Light,1.0,11.95,71.69999999999999,No
RWI-84131-848,2019-02-22,16385-11286-NX,R-D-2.5,2,United States,Rob,Robusta,D,Dark,2.5,20.584999999999997,41.169999999999995,Yes
LTD-71429-845,2019-02-24,03157-23165-UB,A-L-0.5,1,United Kingdom,Ara,Arabica,L,Light,0.5,7.77,7.77,No
HPD-65272-772,2019-02-25,57504-13456-UO,L-M-2.5,1,United States,Lib,Liberica,M,Medium,2.5,33.464999999999996,33.464999999999996,Yes
ONW-00560-570,2019-02-25,32900-82606-BO,A-M-1,2,United States,Ara,Arabica,M,Medium,1.0,11.25,22.5,No
ZYQ-15797-695,2019-02-25,79436-73011-MM,R-D-0.5,5,United Kingdom,Rob,Robusta,D,Dark,0.5,5.369999999999999,26.849999999999994,Yes
CZD-56716-840,2019-02-28,15456-29250-RU,L-D-2.5,4,United States,Lib,Liberica,D,Dark,2.5,29.784999999999997,119.13999999999999,No
EXP-21628-670,2019-03-02,94447-35885-HK,A-M-2.5,3,United States,Ara,Arabica,M,Medium,2.5,25.874999999999996,77.62499999999999,No
RJR-12175-899,2019-03-02,37274-08534-FM,E-D-0.5,3,United States,Exc,Excelsa,D,Dark,0.5,7.29,21.87,No
YWM-07310-594,2019-03-02,66028-99867-WJ,E-M-0.5,5,United States,Exc,Excelsa,M,Medium,0.5,8.25,41.25,Yes
XTH-67276-442,2019-03-03,73799-04749-BM,L-M-2.5,4,United States,Lib,Liberica,M,Medium,2.5,33.464999999999996,133.85999999999999,No
CGO-79583-871,2019-03-04,37182-54930-XC,E-D-0.5,1,United States,Exc,Excelsa,D,Dark,0.5,7.29,7.29,Yes
VQV-59984-866,2019-03-08,48854-01899-FN,R-D-0.2,3,Ireland,Rob,Robusta,D,Dark,0.2,2.6849999999999996,8.055,No
SFC-34054-213,2019-03-10,08100-71102-HQ,L-L-0.5,4,Ireland,Lib,Liberica,L,Light,0.5,9.51,38.04,No
RKW-81145-984,2019-03-11,98661-69719-VI,L-L-1,3,United States,Lib,Liberica,L,Light,1.0,15.85,47.55,No
MBM-55936-917,2019-03-12,55989-39849-WO,L-D-0.5,3,United States,Lib,Liberica,D,Dark,0.5,7.77,23.31,Yes
GQR-12490-152,2019-03-14,22832-98538-RB,R-L-0.2,1,United States,Rob,Robusta,L,Light,0.2,3.5849999999999995,3.5849999999999995,Yes
