Customer ID,Country,Loyalty Card
17670-51384-MA,United States,Yes
73342-18763-UW,Ireland,No
21125-22134-PX,United States,Yes
71253-00052-RN,United States,Yes
23806-46781-OU,Ireland,No
86561-91660-RB,United States,No
65223-29612-CB,United States,Yes
21134-81676-FR,Ireland,Yes
03396-68805-ZC,United States,No
61021-27840-ZN,United States,No
76239-90137-UQ,United States,No
49315-21985-BB,United States,Yes
34136-36674-OM,United States,No
39396-12890-PE,United States,No
95875-73336-RG,United States,Yes
25473-43727-BY,United States,No
99643-51048-IQ,United States,No
62173-15287-CU,United States,No
57611-05522-ST,Ireland,Yes
76664-37050-DT,United States,Yes
84565-53984-SX,Ireland,Yes
03090-88267-BQ,United States,No
37651-47492-NC,United States,Yes
95399-57205-HI,United States,Yes
24010-66714-HW,United States,No
07591-92789-UA,United States,Yes
49231-44455-IC,United States,Yes
50124-88608-EO,Ireland,No
00888-74814-UZ,Ireland,No
14158-30713-OB,Ireland,Yes
51427-89175-QJ,United States,No
52082-49024-ON,United States,No
04540-43685-DV,Ireland,Yes
39123-12846-YJ,United States,No
44981-99666-XB,United Kingdom,Yes
24825-51803-CQ,United States,No
77634-13918-GJ,United States,No
13694-25001-LX,United States,No
08523-01791-TI,United States,No
49860-68865-AB,United States,Yes
21240-83132-SP,United States,No
08350-81623-TF,United States,Yes
73284-01385-SJ,United States,Yes
04152-34436-IE,United States,No
06631-86965-XP,United States,Yes
54619-08558-ZU,United States,No
85589-17020-CX,United States,Yes
36078-91009-WU,United States,Yes
15770-27099-GX,United States,No
91460-04823-BX,United States,No
45089-52817-WN,United States,No
76447-50326-IC,Ireland,Yes
26333-67911-OL,United Kingdom,No
40768-49176-BL,United States,No
22107-86640-SB,United States,No
09960-34242-LZ,United States,No
04671-85591-RT,United States,Yes
25729-68859-UA,United States,No
05501-86351-NX,United States,Yes
04521-04300-OK,United States,Yes
58689-55264-VK,United States,No
79436-73011-MM,United Kingdom,Yes
65552-60476-KY,United States,Yes
69904-02729-YS,United States,No
01433-04270-AX,United States,Yes
14204-14186-LA,United States,Yes
32948-34398-HC,United States,Yes
77343-52608-FF,United States,No
42770-36274-QA,United States,No
14103-58987-ZU,United Kingdom,Yes
69958-32065-SW,United States,No
69533-84907-FA,Ireland,No
76005-95461-CI,United States,No
15395-90855-VB,United States,Yes
80640-45811-LB,United States,Yes
28476-04082-GR,Ireland,Yes
